

中天,#genre#
CCTV3,http://118.251.97.203:8888/rtp/239.76.253.153:9000
CCTV4,http://113.240.176.113:8888/rtp/239.76.253.154:9000
CCTV4,http://118.251.97.203:8888/rtp/239.76.253.154:9000
CCTV5,http://113.240.176.113:8888/rtp/239.76.253.155:9000
CCTV5,http://118.251.97.203:8888/rtp/239.76.253.155:9000
CCTV5+,http://113.240.176.113:8888/rtp/239.76.253.168:9000
CCTV5+,http://118.251.97.203:8888/rtp/239.76.253.168:9000
CCTV6,http://113.240.176.113:8888/rtp/239.76.253.156:9000
CCTV6,http://118.251.97.203:8888/rtp/239.76.253.156:9000
CCTV7,http://113.240.176.113:8888/rtp/239.76.253.157:9000
CCTV7,http://118.251.97.203:8888/rtp/239.76.253.157:9000
CCTV8,http://113.240.176.113:8888/rtp/239.76.253.158:9000
CCTV8,http://118.251.97.203:8888/rtp/239.76.253.158:9000
CCTV9,http://113.240.176.113:8888/rtp/239.76.253.159:9000
CCTV9,http://118.251.97.203:8888/rtp/239.76.253.159:9000
CCTV10,http://113.240.176.113:8888/rtp/239.76.253.160:9000
CCTV10,http://118.251.97.203:8888/rtp/239.76.253.160:9000
CCTV11,http://113.240.176.113:8888/rtp/239.76.252.251:9000
CCTV11,http://118.251.97.203:8888/rtp/239.76.252.251:9000
CCTV12,http://113.240.176.113:8888/rtp/239.76.253.162:9000
CCTV12,http://118.251.97.203:8888/rtp/239.76.253.162:9000
CCTV14,http://113.240.176.113:8888/rtp/239.76.253.164:9000
CCTV14,http://118.251.97.203:8888/rtp/239.76.253.164:9000
CCTV15,http://113.240.176.113:8888/rtp/239.76.252.252:9000
